File Name,Transcript,Label,tokenized_Transcript,clean_text
trial_truth_002.txt,"All of us, who have represented people for years in the system get letters from prisioners um ... and their families. You know, this person is improperly convicted, you need to do something about it. But, its no one else's job to do it, other than  the inocence project ....  and they do it, they do itelse marvelously. ",truthful,all of us who have represented people for years in the system get letters from prisioners um and their families you know this person is improperly convicted you need to do something about it but its no one else 's job to do it other than the inocence project and they do it they do itelse marvelously,represent people year system letter prisioner um family know person improperly convict need job inocence project itelse marvelously
trial_truth_001.txt,"Reforming the criminal justice system matters to me because for the law to have legitimacy and the people to respect they law, they need to believe that the law treats everyone um ... equally um ... and fairly. ",truthful,reforming the criminal justice system matters to me because for the law to have legitimacy and the people to respect they law they need to believe that the law treats everyone um equally um and fairly,reform criminal justice system matter law legitimacy people respect law need believe law treat um equally um fairly
trial_truth_006.txt,"They really didn't tell me anything. They said there had been an accident. They said there had been an accident -- that Ian was fine, but there had been an accident. They didn't really tell me. And then I screamed into the phone asking what was going on, and I ... They just said you need to come here, so I dropped the phone and ran out of my office.",truthful,they really did n't tell me anything they said there had been an accident they said there had been an accident that ian was fine but there had been an accident they did n't really tell me and then i screamed into the phone asking what was going on and i they just said you need to come here so i dropped the phone and ran out of my office,tell say accident say accident ian fine accident tell scream phone ask go say need come drop phone run office
trial_truth_004.txt,"I do. I was, uh... in the office, and I got a call ... uh, maybe ... close to nine o' clock, I don't remember, somewhere between eight and nine, from Rusty. He said, uh ... someone was just on the side of the house, and he was sort of not completely coherent, and said ... someone was, like, sleeping on the side of the house, and he called the police, and he was... oh and then he had to go really quickly to talk to the police, and then he ended up calling me back, and told me the whole story of what had happened, which was that, um... he had put Ian in the car as he does every day around that time, and Ian's car seat is on the right passenger side in the back, and as he walked around he smelled gas, um... as he walked -- 'cause he sort of exits the garage a little bit to get to his side of the car, he smelled gas, and, uh... our gas meter and pipe is on the side of the left side of the house if you're looking at the front. So he walked over to that spot, it's near our air conditioners,  and he said that there was a man lying face-down on the ground.",truthful,i do i was uh in the office and i got a call uh maybe close to nine o clock i do n't remember somewhere between eight and nine from rusty he said uh someone was just on the side of the house and he was sort of not completely coherent and said someone was like sleeping on the side of the house and he called the police and he was oh and then he had to go really quickly to talk to the police and then he ended up calling me back and told me the whole story of what had happened which was that um he had put ian in the car as he does every day around that time and ian 's car seat is on the right passenger side in the back and as he walked around he smelled gas um as he walked 'cause he sort of exits the garage a little bit to get to his side of the car he smelled gas and uh our gas meter and pipe is on the side of the left side of the house if you 're looking at the front so he walked over to that spot it 's near our air conditioners and he said that there was a man lying face down on the ground,uh office get uh maybe close o clock remember rusty say uh house sort completely coherent say like sleep house call police oh quickly talk police end call tell story happen um ian car day time ian car seat right passenger walk smell gas um walk 'cause sort exit garage little bit car smell gas uh gas meter pipe left house look walk spot near air conditioner say man lie face ground
trial_truth_003.txt,"But yes, I was there. Yep, I stayed. Uh ... Yep, prob -- yes, yes.",truthful,but yes i was there yep i stayed uh yep prob yes yes,yes yep stay uh yep prob yes yes
trial_truth_005.txt,"No, when Rusty backed up out of the garage ... So Rusty had a communication with him, but -- now I know why -- but Hemy never responded, because if he had spoken, I'm sure Rusty would have recognized who he was. So he stayed silent the entire time. And Rusty panicked. He got into the car, backed out of the driveway, and once he was at the end of the driveway picking up the phone to dial 911, Hemy ran across the lawn, over to a place that only someone who had been stalking my house for months would have known existed.",truthful,no when rusty backed up out of the garage so rusty had a communication with him but now i know why but hemy never responded because if he had spoken i 'm sure rusty would have recognized who he was so he stayed silent the entire time and rusty panicked he got into the car backed out of the driveway and once he was at the end of the driveway picking up the phone to dial 911 hemy ran across the lawn over to a place that only someone who had been stalking my house for months would have known existed,rusty back garage rusty communication know hemy respond speak m sure rusty recognize stay silent entire time rusty panicked get car back driveway end driveway pick phone dial 911 hemy run lawn place stalk house month know exist
trial_truth_007.txt,"I have no idea. A police officer I presume. You'd have to ask my mother or my brother. Nope. They said they didn't know where he was being taken. Yep. Went to the house, I was in a fairly catatonic state, my dad and my brother started making phone calls to all the local hospitals, and they eventually got a hold of... I don't know, whatever the hospital is, Atlanta Medical Center. And they wouldn't tell my dad anything but that he was being taken there. So we got in the car, and we left. That's correct. Yes, he was and I had, I -- that was instructed that that was the best idea was to keep him at the day care. The, uh ... Donna. The woman that runs the day care. Yep. That's the safest place ... uh for him to be.",truthful,i have no idea a police officer i presume you 'd have to ask my mother or my brother nope they said they did n't know where he was being taken yep went to the house i was in a fairly catatonic state my dad and my brother started making phone calls to all the local hospitals and they eventually got a hold of i do n't know whatever the hospital is atlanta medical center and they would n't tell my dad anything but that he was being taken there so we got in the car and we left that 's correct yes he was and i had i that was instructed that that was the best idea was to keep him at the day care the uh donna the woman that runs the day care yep that 's the safest place uh for him to be,idea police officer presume ask mother brother nope say know take yep go house fairly catatonic state dad brother start make phone call local hospital eventually get hold know hospital atlanta medical center tell dad take get car leave correct yes instruct good idea day care uh donna woman run day care yep safe place uh
trial_truth_014.txt,from conversations ... from what Jodi telling me that he had talked to other girls even when they were supposed to be together. That might be what I mean.,truthful,from conversations from what jodi telling me that he had talked to other girls even when they were supposed to be together that might be what i mean,conversation jodi tell talk girl suppose mean
trial_truth_008.txt,"She was fine, laughing about simple little things I never once felt like there was anything wrong about the day, I felt like socially, the first time I saw her in a crowd, I thought she was much more comfortable one-on-one, that was the first time I noticed she was a little awkward in social areas and it didn't seem like she talked very much to other people, people would talk about that, it just wasn't the Jodi I knew cause one on one she was very talkative and insightful, very different",truthful,she was fine laughing about simple little things i never once felt like there was anything wrong about the day i felt like socially the first time i saw her in a crowd i thought she was much more comfortable one on one that was the first time i noticed she was a little awkward in social areas and it did n't seem like she talked very much to other people people would talk about that it just was n't the jodi i knew cause one on one she was very talkative and insightful very different,fine laugh simple little thing feel like wrong day feel like socially time see crowd think comfortable time notice little awkward social area like talk people people talk jodi know cause talkative insightful different
trial_truth_015.txt,"just talked to everybody, you know, you know he was flirtatious, I mean he, ah, you know, um, I don't know ... I don’t know who told me that. I don’t know enough about it. I just knew he was a flirt and that ... You know, he was ...  I remember Clancy telling me, you know, at times, you know, he was just him. You know, he would just flirt with everybody, just goofing around. Nobody really took it seriously.",truthful,just talked to everybody you know you know he was flirtatious i mean he ah you know um i do n't know i do n’t know who told me that i do n’t know enough about it i just knew he was a flirt and that you know he was i remember clancy telling me you know at times you know he was just him you know he would just flirt with everybody just goofing around nobody really took it seriously,talk everybody know know flirtatious mean ah know um know know tell know know flirt know remember clancy tell know time know know flirt everybody goof take seriously
